CIF_id,Compound,Central atom,Coordination number,A atom count in CN,B atom count in CN,Volume of polyhedron,Distance from central atom to center of mass,Number of edges,Number of faces,Shortest distance to center of any face,Shortest distance to center of any edge,Volume of the inscribed sphere,Packing efficiency of inscribed sphere in polyhedron
250959,Pd0.75In0.25,Pd1,16.5,8.0,8.5,34.0716,0.16,19.5,13.0,1.6442,1.44,18.6186,0.5497
250962,Pt3Sn,Pt1,12.0,8.0,4.0,53.3533,0.0,30.0,20.0,2.1084,2.0002,39.2624,0.7359
250962,Pt3Sn,Sn1,15.0,12.0,3.0,69.3593,0.0,21.0,14.0,2.2091,2.4145,45.4368,0.6702
250963,Pt3In,In1,15.0,12.0,3.0,68.9182,0.0,21.0,14.0,2.2044,2.4094,45.1478,0.6702
250963,Pt3In,Pt1,12.0,8.0,4.0,53.014,0.0,30.0,20.0,2.104,1.996,39.0126,0.7359
250966,Pd3.25In9.75,In1,16.0,3.0,13.0,77.4062,0.1219,39.0,26.0,2.2462,2.3209,47.4746,0.6133
250966,Pd3.25In9.75,In2,15.0,4.0,11.0,62.1813,0.1415,33.0,22.0,2.212,2.2529,45.3385,0.7291
250966,Pd3.25In9.75,In3,15.0,6.0,9.0,50.7795,0.214,30.0,20.0,1.9046,2.1436,28.9401,0.5699
250966,Pd3.25In9.75,Pd1,15.0,6.0,9.0,50.7795,0.214,30.0,20.0,1.9046,2.1436,28.9397,0.5699
250966,Pd3.25In9.75,Pd2,15.0,3.0,12.0,51.5704,0.2032,30.0,20.0,1.8518,2.0968,26.598,0.5158
250977,ErNi3,Er1,16.0,4.0,12.0,76.4911,0.0941,42.0,28.0,2.4378,2.5664,60.6825,0.7933
250977,ErNi3,Er2,6.0,0.0,6.0,0.1812,0.0001,12.0,8.0,0.0063,1.4263,0.0,0.0
250977,ErNi3,Ni1,12.0,5.0,7.0,49.31,0.0441,30.0,20.0,2.015,2.0105,34.2685,0.695
250977,ErNi3,Ni2,12.0,3.0,9.0,46.0494,0.0079,30.0,20.0,1.9534,2.1276,31.2198,0.678
250977,ErNi3,Ni3,12.0,6.0,6.0,49.7968,0.0001,30.0,20.0,2.0314,2.1532,35.1108,0.7051
